Symbol,Disabled
AARTIIND,
ABB,
ABBOTINDIA,
ABCAPITAL,
ABFRL,
ACC,Y
ADANIENT,Y
ADANIPORTS,Y
ALKEM,
AMARAJABAT,
AMBUJACEM,Y
APOLLOHOSP,
APOLLOTYRE,
ASHOKLEY,
ASIANPAINT,
ASTRAL,
ATUL,
AUBANK,
AUROPHARMA,
AXISBANK,
BAJAJ-AUTO,
BAJAJFINSV,
BAJFINANCE,
BALKRISIND,
BALRAMCHIN,
BANDHANBNK,
BANKBARODA,
BATAINDIA,
BEL,
BERGEPAINT,
BHARATFORG,
BHARTIARTL,
BHEL,
BIOCON,
BOSCHLTD,
BPCL,
BRITANNIA,
BSOFT,
CANBK,
CANFINHOME,
CHAMBLFERT,
CHOLAFIN,
CIPLA,
COALINDIA,
COFORGE,
COLPAL,
CONCOR,
COROMANDEL,
CROMPTON,
CUB,
CUMMINSIND,
DABUR,
DALBHARAT,
DEEPAKNTR,
DELTACORP,
DIVISLAB,
DIXON,
DLF,
DRREDDY,
EICHERMOT,
ESCORTS,
EXIDEIND,
FEDERALBNK,
FSL,
GAIL,
GLENMARK,
GNFC,
GODREJCP,
GODREJPROP,
GRANULES,
GRASIM,
GUJGASLTD,
HAL,
HAVELLS,
HCLTECH,
HDFCAMC,
HDFCBANK,
HDFCLIFE,
HINDALCO,
HINDCOPPER,
HINDPETRO,
HINDUNILVR,
HONAUT,
IBULHSGFIN,
ICICIBANK,
ICICIGI,
ICICIPRULI,
IDFC,
IDFCFIRSTB,
IEX,
IGL,
INDHOTEL,
INDIACEM,
INDIAMART,
INDIGO,
INDUSINDBK,
INDUSTOWER,
INFY,
INTELLECT,
IOC,
IPCALAB,
IRCTC,
ITC,
JINDALSTEL,
JKCEMENT,
JSWSTEEL,
JUBLFOOD,
KOTAKBANK,
LALPATHLAB,
LAURUSLABS,
LICHSGFIN,
LT,
LTIM,
LTTS,
LUPIN,
MANAPPURAM,
MARICO,
MARUTI,
MCDOWELL-N,
MCX,
METROPOLIS,
MFSL,
MGL,
MOTHERSON,
MPHASIS,
MRF,
MUTHOOTFIN,
NATIONALUM,
NAUKRI,
NAVINFLUOR,
NESTLEIND,
NMDC,
NTPC,
OBEROIRLTY,
OFSS,
ONGC,
PAGEIND,
PEL,
PERSISTENT,
PETRONET,
PFC,
PIDILITIND,
PIIND,
PNB,
POLYCAB,
POWERGRID,
PVRINOX,
RAIN,Y
RAMCOCEM,
RBLBANK,
RECLTD,
RELIANCE,
SAIL,
SBICARD,
SBILIFE,
SBIN,
SHREECEM,
SHRIRAMFIN,
SIEMENS,
SRF,
SUNPHARMA,
SUNTV,
SYNGENE,
TATACHEM,
TATACOMM,
TATACONSUM,
TATAMOTORS,
TATAPOWER,
TATASTEEL,
TCS,
TECHM,
TITAN,
TORNTPHARM,
TORNTPOWER,
TRENT,
TVSMOTOR,
UBL,
ULTRACEMCO,
UPL,
VEDL,
VOLTAS,
WHIRLPOOL,
WIPRO,
ZEEL,
ZYDUSLIFE,
FORTIS,
GLAND,
HINDZINC,
INDIANB,
IRFC,
PRESTIGE,
UNIONBANK,
VBL,
SONACOMS,
LICI,
